filename,low_ratio,mid_ratio,high_ratio,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13
Bad Bunny & Bomba Estereo_Ojitos Lindos.wav,0.3461970090866089,0.6425252556800842,0.011277757585048676,-209.2030792236328,182.0647735595703,-2.3847603797912598,40.098114013671875,-1.1023075580596924,6.859409809112549,-12.196086883544922,-3.532884120941162,-12.374032020568848,-12.3687162399292,-7.16226863861084,3.4452009201049805,-5.798049449920654,79.83047485351562,40.82600784301758,41.26811218261719,31.488725662231445,23.063512802124023,14.765156745910645,16.04035186767578,12.071748733520508,11.58719253540039,10.57608413696289,10.22614574432373,13.103970527648926,9.926712989807129
Bad Bunny & Chencho Corleone_Me Porto Bonito.wav,0.6951501369476318,0.2988719344139099,0.005977930035442114,-232.62432861328125,115.54505920410156,7.741222858428955,28.30368423461914,9.89056396484375,24.111900329589844,-16.092870712280273,17.336374282836914,9.286616325378418,-17.659587860107422,-10.818780899047852,8.268549919128418,-6.347436904907227,102.60842895507812,31.88670539855957,32.84513473510742,17.881669998168945,18.928958892822266,14.657877922058105,24.288232803344727,12.170394897460938,11.735450744628906,15.774083137512207,12.665260314941406,12.37870979309082,10.191255569458008
Bad Bunny_Efecto.wav,0.6176865696907043,0.3775782585144043,0.004735172726213932,-263.5710754394531,138.51675415039062,10.775500297546387,38.36739730834961,-1.038287878036499,26.87739372253418,-12.039109230041504,-0.05455328896641731,10.278013229370117,-14.832635879516602,-19.29673194885254,7.844581604003906,-0.8962230682373047,100.48872375488281,32.02680206298828,35.358482360839844,22.49419593811035,21.434316635131836,22.365083694458008,15.909711837768555,12.62678050994873,13.847603797912598,15.169734001159668,11.067740440368652,12.742627143859863,11.131393432617188
Bad Bunny_Moscow Mule.wav,0.638530969619751,0.3516797423362732,0.009789371863007545,-225.5764617919922,174.45309448242188,11.421304702758789,14.091416358947754,-10.331816673278809,18.045398712158203,-12.301310539245605,9.195528030395508,9.141350746154785,1.2771859169006348,-4.673458576202393,4.97794246673584,-1.5769970417022705,98.301025390625,40.634666442871094,29.83394432067871,30.63883399963379,23.767202377319336,25.311769485473633,15.483152389526367,18.084087371826172,16.527193069458008,14.259708404541016,13.576884269714355,10.98265266418457,8.78464126586914
Bad Bunny_Where She Goes.wav,0.3131377696990967,0.6800060868263245,0.006856180261820555,-197.0283660888672,199.6127166748047,-5.190521717071533,-15.271993637084961,-9.405279159545898,16.138507843017578,-16.843151092529297,-7.342608451843262,-14.891329765319824,-11.58629035949707,-18.46510887145996,-8.195952415466309,-7.902334690093994,100.54882049560547,42.967777252197266,33.580848693847656,36.03053283691406,17.813026428222656,13.758092880249023,16.149559020996094,18.14051628112793,9.774985313415527,8.366125106811523,9.389573097229004,10.15002727508545,11.318230628967285
Bailey Zimmerman_Religiously.wav,0.26924481987953186,0.7181207537651062,0.012634383514523506,-217.85252380371094,178.04434204101562,-16.154476165771484,15.544395446777344,-15.088945388793945,9.693343162536621,-8.764766693115234,-2.793250799179077,-6.524943828582764,-3.4741618633270264,-12.240436553955078,-9.701409339904785,-2.280691146850586,86.70321655273438,39.21224594116211,20.683605194091797,25.98528480529785,24.681514739990234,21.194597244262695,15.234044075012207,12.298839569091797,9.00643253326416,11.003397941589355,9.843503952026367,9.679513931274414,10.75888729095459
Beyonce_Break My Soul.wav,0.7508683800697327,0.23970462381839752,0.00942707434296608,-214.76339721679688,102.83103942871094,-33.27204513549805,23.336610794067383,-9.283061981201172,17.596506118774414,4.687967300415039,0.5956592559814453,-2.780932903289795,-0.5728904604911804,6.5651535987854,3.955411434173584,-1.6563550233840942,151.46324157714844,64.79226684570312,36.142948150634766,26.686542510986328,16.469266891479492,22.8138484954834,14.695577621459961,12.6550931930542,12.279540061950684,9.213264465332031,12.53946304321289,10.236873626708984,7.643542289733887
Beyonce_Cuff It.wav,0.8088659644126892,0.17134276032447815,0.019791265949606895,-146.84698486328125,124.43952941894531,-17.23695182800293,49.55427169799805,5.8799896240234375,23.271892547607422,-8.415849685668945,23.590898513793945,-10.008583068847656,7.064579486846924,1.5281941890716553,10.542387962341309,-2.8686530590057373,71.07843780517578,40.035003662109375,26.532546997070312,17.299663543701172,19.838787078857422,20.473291397094727,17.33382225036621,14.974369049072266,13.301424026489258,18.104129791259766,13.588577270507812,11.106972694396973,10.860154151916504
Billie Eilish_What Was I Made For?.wav,0.16517691314220428,0.8296536803245544,0.0051693846471607685,-292.4814147949219,131.109619140625,40.453304290771484,33.064903259277344,5.158707618713379,16.25357437133789,-3.209599256515503,7.51732873916626,-13.565478324890137,-12.52597427368164,-2.2561590671539307,-5.978189468383789,-7.869283676147461,91.67585754394531,29.999645233154297,41.40107727050781,20.03232765197754,20.299938201904297,11.069835662841797,16.558225631713867,13.879664421081543,10.359452247619629,9.960021018981934,9.304738998413086,8.483564376831055,8.86559772491455
"Bizarrap & Shakira_Bzrp Music Sessions, Vol. 53.wav",0.7422948479652405,0.25092989206314087,0.006775259505957365,-141.10731506347656,161.66156005859375,-11.771332740783691,38.10055160522461,-7.058854579925537,23.031944274902344,-0.2596973180770874,12.406818389892578,6.735231399536133,0.05455669015645981,7.1808600425720215,4.266056060791016,2.311831474304199,66.63298797607422,27.671977996826172,27.183067321777344,17.454505920410156,17.23459243774414,15.747392654418945,10.92292308807373,11.209318161010742,9.25687313079834,8.678061485290527,8.964569091796875,6.984521865844727,7.122692584991455
