date,year,month,rank,title,artist,weeks
2000-01-01,2000,1,1,Smooth,Santana Featuring Rob Thomas,23
2000-01-01,2000,1,2,Back At One,Brian McKnight,19
2000-01-01,2000,1,3,I Wanna Love You Forever,Jessica Simpson,12
2000-01-01,2000,1,4,My Love Is Your Love,Whitney Houston,18
2000-01-01,2000,1,5,I Knew I Loved You,Savage Garden,11
2000-01-01,2000,1,6,I Need To Know,Marc Anthony,17
2000-01-01,2000,1,7,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas, Eve & Q-Tip",6
2000-01-01,2000,1,8,U Know What's Up,Donell Jones,15
2000-01-01,2000,1,9,Bring It All To Me,Blaque,11
2000-01-01,2000,1,10,Girl On TV,LFO,7
2000-01-01,2000,1,11,What A Girl Wants,Christina Aguilera,6
2000-01-01,2000,1,12,24/7,Kevon Edmonds,9
2000-01-01,2000,1,13,Blue (Da Ba Dee),Eiffel 65,4
2000-01-01,2000,1,14,Then The Morning Comes,Smash Mouth,10
2000-01-01,2000,1,15,He Can't Love U,Jagged Edge,4
2000-01-01,2000,1,16,Waiting For Tonight,Jennifer Lopez,12
2000-01-01,2000,1,17,That's The Way It Is,Celine Dion,8
2000-01-01,2000,1,18,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,3
2000-01-01,2000,1,19,Dancin',Guy,3
2000-01-01,2000,1,20,Steal My Sunshine,Len,21
2000-01-01,2000,1,21,Get It On Tonite,Montell Jordan,11
2000-01-01,2000,1,22,Learn To Fly,Foo Fighters,12
2000-01-01,2000,1,23,Big Deal,LeAnn Rimes,12
2000-01-01,2000,1,24,Meet Virginia,Train,13
2000-01-01,2000,1,25,Unpretty,TLC,28
2000-01-01,2000,1,26,Breathe,Faith Hill,9
2000-01-01,2000,1,27,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,26
2000-01-01,2000,1,28,"4, 5, 6",Sole Featuring JT Money & Kandi,10
2000-01-01,2000,1,29,Stay The Night,IMx,13
2000-01-01,2000,1,30,Don't Say You Love Me,M2M,7
2000-01-01,2000,1,31,Where My Girls At?,702,36
2000-01-01,2000,1,32,Mambo No. 5 (A Little Bit Of...),Lou Bega,19
2000-01-01,2000,1,33,Hanginaround,Counting Crows,9
2000-01-01,2000,1,34,Take A Picture,Filter,6
2000-01-01,2000,1,35,Get Gone,Ideal,20
2000-01-01,2000,1,36,Someday,Sugar Ray,27
2000-01-01,2000,1,37,He Didn't Have To Be,Brad Paisley,11
2000-01-01,2000,1,38,Got Your Money,Ol' Dirty Bastard Featuring Kelis,11
2000-01-01,2000,1,39,Shake Your Bon-Bon,Ricky Martin,7
2000-01-01,2000,1,40,If You Love Me,Mint Condition,9
